List,0
List Heuristic,1
Tree,2
Tree p.c,3
Nodes.n,DisjointType,Union time
50,1,0.003913099999998337
50,2,0.008772699999999523
50,3,0.006556100000000509
51,0,0.028016300000000216
51,1,0.004178499999998309
51,2,0.009444099999999622
51,3,0.006918100000000704
52,0,0.028313300000000208
52,1,0.0044888999999981305
52,2,0.010473199999999627
52,3,0.00740650000000076
53,0,0.028569500000000136
53,1,0.0048032999999980674
53,2,0.011517999999999695
53,3,0.007831800000000833
54,0,0.028815800000000058
54,1,0.005065499999997947
54,2,0.012446099999999571
54,3,0.008270000000000888
55,0,0.028951599999999855
55,1,0.005230199999997964
55,2,0.0127655999999996
55,3,0.008503500000000885
56,0,0.029270999999999825
56,1,0.005573499999998122
56,2,0.014024699999999779
56,3,0.009050500000000739
57,0,0.029515599999999864
57,1,0.005802999999998004
57,2,0.014719999999999844
57,3,0.009409000000000667
58,0,0.0298970999999999
58,1,0.006115499999998164
58,2,0.016397400000000006
58,3,0.010253300000000687
59,0,0.02994589999999997
59,1,0.006224199999998126
59,2,0.016462999999999894
59,3,0.010314700000000787
60,0,0.0300859
60,1,0.006356099999998088
60,2,0.016652700000000076
60,3,0.010475700000000865
61,0,0.03041690000000008
61,1,0.006666799999998085
61,2,0.017730600000000152
61,3,0.010970800000000835
62,0,0.03078610000000004
62,1,0.007051799999998165
62,2,0.019410499999999997
62,3,0.011595200000000805
63,0,0.031048000000000187
63,1,0.007267999999998054
63,2,0.019905400000000073
63,3,0.011885600000000718
64,0,0.03154440000000003
64,1,0.00828079999999809
64,2,0.02248249999999996
64,3,0.013055500000000775
65,0,0.03222600000000009
65,1,0.00908559999999814
65,2,0.02486440000000001
65,3,0.01365270000000085
66,0,0.032427900000000065
66,1,0.009263799999998046
66,2,0.025130100000000155
66,3,0.013876100000000724
67,0,0.033016000000000156
67,1,0.009756099999998158
67,2,0.027353799999999984
67,3,0.01468480000000083
68,0,0.03329380000000026
68,1,0.010058899999998205
68,2,0.02823690000000001
68,3,0.015316900000000855
69,0,0.03365700000000027
69,1,0.010434199999998173
69,2,0.0294620000000001
69,3,0.0160540000000009
70,0,0.034121200000000185
70,1,0.011111099999998153
70,2,0.03214000000000006
70,3,0.016879000000000977
71,0,0.03449630000000026
71,1,0.011553099999997984
71,2,0.03382940000000012
71,3,0.017537400000001035
72,0,0.03495270000000028
72,1,0.011988299999997842
72,2,0.03545620000000027
72,3,0.018308400000001113
73,0,0.03549080000000027
73,1,0.012534999999997742
73,2,0.037950700000000115
73,3,0.01914860000000118
74,0,0.03579200000000027
74,1,0.012816599999997624
74,2,0.03879470000000018
74,3,0.019649700000001102
75,0,0.036348200000000386
75,1,0.013229299999997446
75,2,0.040823000000000054
75,3,0.020351200000001013
76,0,0.0373946000000005
76,1,0.013645799999997488
76,2,0.04289160000000014
76,3,0.021007900000000967
77,0,0.03795850000000045
77,1,0.014221499999997445
77,2,0.04516490000000006
77,3,0.02195990000000103
78,0,0.03851920000000031
78,1,0.014786099999997582
78,2,0.04782130000000007
78,3,0.022933900000001062
79,0,0.03887230000000019
79,1,0.015126699999997495
79,2,0.048952899999999966
79,3,0.023425100000000976
